county,prop2_yes,prop2_no,prop3_yes,prop3_no,prop4_yes,prop4_no,prop5_yes,prop5_no,prop6_yes,prop6_no,prop32_yes,prop32_no,prop33_yes,prop33_no,prop34_yes,prop34_no,prop35_yes,prop35_no,prop36_yes,prop36_no,prop2_total,prop2_yes_pct,prop2_outcome,prop3_total,prop3_yes_pct,prop3_outcome,prop4_total,prop4_yes_pct,prop4_outcome,prop5_total,prop5_yes_pct,prop5_outcome,prop6_total,prop6_yes_pct,prop6_outcome,prop32_total,prop32_yes_pct,prop32_outcome,prop33_total,prop33_yes_pct,prop33_outcome,prop34_total,prop34_yes_pct,prop34_outcome,prop35_total,prop35_yes_pct,prop35_outcome,prop36_total,prop36_yes_pct,prop36_outcome,num_yes_props,prop2_matches_state,prop3_matches_state,prop4_matches_state,prop5_matches_state,prop6_matches_state,prop32_matches_state,prop33_matches_state,prop34_matches_state,prop35_matches_state,prop36_matches_state,match_state_count
Humboldt,37335,24430,44423,17921,39035,23033,30836,30274,32292,28341,32008,29799,26555,33679,24785,33375,44332,16887,34571,26600,61765,0.6044685501497612,Yes,62344,0.7125465161041961,Yes,62068,0.6289070052200812,Yes,61110,0.5045982654230077,Yes,60633,0.53258126762654,Yes,61807,0.5178701441584287,Yes,60234,0.4408639638742239,No,58160,0.4261519944979367,No,61219,0.724154265832503,Yes,61171,0.5651534223733469,Yes,8,1,1,1,0,0,0,1,0,1,1,6
Imperial,32060,20357,25454,26829,31253,21088,25184,27022,19988,32026,29254,23445,22981,28736,27352,23750,35941,15700,39781,12161,52417,0.611633630310777,Yes,52283,0.48685041026719966,No,52341,0.5971036090254294,Yes,52206,0.48239665938780985,No,52014,0.38428115507363403,No,52699,0.5551148978158978,Yes,51717,0.4443606551037376,No,51102,0.5352432390121717,Yes,51641,0.6959780019751748,Yes,51942,0.7658734742597513,Yes,6,1,0,1,1,1,0,1,1,1,1,8
Inyo,4616,3982,4658,3940,4364,4237,3380,5078,3131,5218,3415,5149,2717,5646,3832,4319,5301,3149,5732,2768,8598,0.5368690393114678,Yes,8598,0.541753896254943,Yes,8601,0.5073828624578537,Yes,8458,0.39962165996689525,No,8349,0.3750149718529165,No,8564,0.3987622606258758,No,8363,0.3248834150424489,No,8151,0.47012636486320697,No,8450,0.6273372781065089,Yes,8500,0.6743529411764706,Yes,5,1,1,1,1,1,1,1,0,1,1,9
Kern,147472,126907,119523,155599,137238,138477,101348,172911,93432,178109,98941,177757,95209,178282,153228,115180,189126,83264,210475,63737,274379,0.5374755356641725,Yes,275122,0.4344363591424895,No,275715,0.4977531146292367,No,274259,0.3695339077295549,No,271541,0.3440806360733738,No,276698,0.3575775755516845,No,273491,0.34812480118175737,No,268408,0.5708771720664063,Yes,272390,0.6943206431954183,Yes,274212,0.7675630534039356,Yes,4,1,0,0,1,1,1,1,1,1,1,8
Kings,20949,18689,18283,22335,20274,20364,14786,25753,12121,27895,14755,25765,13726,26390,21836,18050,25733,14526,31619,8945,39638,0.5285079973762551,Yes,40618,0.45012063617115566,No,40638,0.49889266204045474,No,40539,0.3647351932706776,No,40016,0.30290383846461416,No,40520,0.3641411648568608,No,40116,0.3421577425466148,No,39886,0.5474602617459761,Yes,40259,0.6391862689088155,Yes,40564,0.7794842717680702,Yes,4,1,0,0,1,1,1,1,1,1,1,8
Lake,13793,11707,14540,10949,14374,11315,10261,15090,9734,15395,11672,13998,9284,16091,12529,12086,18016,7484,17907,7613,25500,0.5409019607843137,Yes,25489,0.5704421515163404,Yes,25689,0.5595391023395228,Yes,25351,0.40475720878860794,No,25129,0.38736121612479607,No,25670,0.4546941955590183,No,25375,0.365871921182266,No,24615,0.5089985781027828,Yes,25500,0.7065098039215686,Yes,25520,0.7016849529780564,Yes,6,1,1,1,1,1,1,1,1,1,1,10
Lassen,3750,7230,3766,7224,3856,7116,2380,8598,2452,8468,2440,8610,2431,8425,4523,6194,5214,5698,9130,1919,10980,0.34153005464480873,No,10990,0.34267515923566877,No,10972,0.35144002916514766,No,10978,0.21679723082528693,No,10920,0.22454212454212455,No,11050,0.22081447963800904,No,10856,0.22393146647015474,No,10717,0.42203974993001775,No,10912,0.4778225806451613,No,11049,0.8263191239026156,Yes,1,0,0,0,1,1,1,1,0,0,1,5
Los Angeles,2144674,1306610,2277244,1188271,2234508,1231435,1747915,1674805,1819634,1551635,1885825,1610788,1555370,1897930,1570334,1764066,2289511,1133718,2235429,1233912,3451284,0.6214133638379223,Yes,3465515,0.6571156090797472,Yes,3465943,0.6447041973858196,Yes,3422720,0.5106801023747195,Yes,3371269,0.5397474956759606,Yes,3496613,0.5393290592925211,Yes,3453300,0.45040106564735183,No,3334400,0.4709494961612284,No,3423229,0.6688161966377358,Yes,3469341,0.6443382186991709,Yes,8,1,1,1,0,0,0,1,0,1,1,6
Madera,25590,27175,22497,30145,25548,27438,18078,34874,15627,36756,18973,34040,17616,35100,25827,26037,30880,21550,40710,11877,52765,0.4849805742442907,No,52642,0.42735838304015805,No,52986,0.4821651002151512,No,52952,0.3414035352772322,No,52383,0.29832197468644406,No,53013,0.35789334691490765,No,52716,0.33416799453676305,No,51864,0.49797547431744565,No,52430,0.5889757772267785,Yes,52587,0.7741457014090936,Yes,2,0,0,0,1,1,1,1,0,1,1,6
Marin,90366,46126,119254,19470,97546,39831,66128,66877,74540,57590,85280,51252,47477,85949,51681,75140,97409,36014,80854,53993,136492,0.6620607801189813,Yes,138724,0.8596493757388772,Yes,137377,0.7100606360598936,Yes,133005,0.4971843163790835,No,132130,0.5641413759176569,Yes,136532,0.6246154747604957,Yes,133426,0.3558301980123814,No,126821,0.40751137429920914,No,133423,0.7300765235379207,Yes,134847,0.599598062989907,Yes,7,1,1,1,1,0,0,1,0,1,1,7
