county_name,county_fips,year,dem_share,rep_share,margin,winner
Alameda,6001,2024,0.7457020153543701,0.2101620075622437,-0.5355400077921264,Democrat
Alpine,6003,2024,0.6490514905149052,0.32926829268292684,-0.31978319783197834,Democrat
Amador,6005,2024,0.3474088291746641,0.6257197696737045,0.27831094049904037,Republican
Butte,6007,2024,0.46774398240196285,0.49895300139599813,0.031209018994035276,Republican
Calaveras,6009,2024,0.34671450151057404,0.6278323262839879,0.28111782477341385,Republican
Colusa,6011,2024,0.34624697336561744,0.6286853724540664,0.282438399088449,Republican
Contra Costa,6013,2024,0.6731051381725228,0.29364119008364464,-0.3794639480888782,Democrat
Del Norte,6015,2024,0.40382430897387356,0.5678720181749337,0.16404770920106015,Republican
El Dorado,6017,2024,0.42633836804003933,0.5461524711770489,0.11981410313700958,Republican
Fresno,6019,2024,0.46512512500230063,0.5089786928593778,0.04385356785707717,Republican
Glenn,6021,2024,0.31220072782991765,0.6611760199195557,0.348975292089638,Republican
Humboldt,6023,2024,0.6196674347636545,0.33566357351933734,-0.28400386124431715,Democrat
Imperial,6025,2024,0.4827950023137436,0.49136510874595096,0.008570106432207347,Republican
Inyo,6027,2024,0.4693330354150374,0.4991621047927606,0.029829069377723172,Republican
Kern,6029,2024,0.38214484935356546,0.5926968077219096,0.21055195836834412,Republican
Kings,6031,2024,0.37394279655911905,0.604178212573191,0.230235416014072,Republican
Lake,6033,2024,0.47811951119249596,0.49183452296423635,0.013715011771740393,Republican
Lassen,6035,2024,0.21792278603464954,0.7579808284231818,0.5400580423885323,Republican
Los Angeles,6037,2024,0.648291893605534,0.3191324384251053,-0.32915945518042866,Democrat
Madera,6039,2024,0.3840985647334505,0.5921206795547744,0.20802211482132393,Republican
Marin,6041,2024,0.8059786417602853,0.16691068814055637,-0.639067953619729,Democrat
Mariposa,6043,2024,0.3809023030812914,0.5915448522452413,0.21064254916394992,Republican
Mendocino,6045,2024,0.6132445940432476,0.3449612403100775,-0.2682833537331701,Democrat
Merced,6047,2024,0.465205111584406,0.5087855356977498,0.043580424113343785,Republican
Modoc,6049,2024,0.250996015936255,0.7181274900398407,0.4671314741035857,Republican
Mono,6051,2024,0.5808047493403694,0.3782981530343008,-0.2025065963060686,Democrat
Monterey,6053,2024,0.6342780026990553,0.33551438814596707,-0.29876361455308825,Democrat
Napa,6055,2024,0.659232024897405,0.3105615646310394,-0.34867046026636556,Democrat
Nevada,6057,2024,0.543745573939355,0.4213126891135003,-0.12243288482585468,Democrat
Orange,6059,2024,0.497302951548026,0.47076310331316745,-0.026539848234858554,Democrat
Placer,6061,2024,0.44273430745840237,0.5278375190048081,0.08510321154640577,Republican
Plumas,6063,2024,0.3993245256779577,0.5686897784841561,0.16936525280619846,Republican
Riverside,6065,2024,0.4804121628447318,0.49306096841254565,0.012648805567813837,Republican
Sacramento,6067,2024,0.5810979157084855,0.3839933234443961,-0.19710459226408938,Democrat
San Benito,6069,2024,0.5489891135303266,0.42323411334948824,-0.1257550001808384,Democrat
San Bernardino,6071,2024,0.47539365168554076,0.49679538514455557,0.021401733459014805,Republican
San Diego,6073,2024,0.5693463058927342,0.40145866857582896,-0.1678876373169052,Democrat
San Francisco,6075,2024,0.8033447156569817,0.15533397524344605,-0.6480107404135357,Democrat
San Joaquin,6077,2024,0.4803220680317517,0.4892308975958676,0.008908829564115872,Republican
San Luis Obispo,6079,2024,0.5393391082870144,0.4306806574426595,-0.10865845084435488,Democrat
San Mateo,6081,2024,0.7350972739100179,0.23181144292154549,-0.5032858309884725,Democrat
Santa Barbara,6083,2024,0.6179736350594158,0.35118967057358635,-0.2667839644858295,Democrat
Santa Clara,6085,2024,0.680599067471713,0.2810697290764132,-0.39952933839529975,Democrat
Santa Cruz,6087,2024,0.7529578409811011,0.20858090729488948,-0.5443769336862117,Democrat
Shasta,6089,2024,0.3051743532058493,0.6697300337457818,0.3645556805399325,Republican
Sierra,6091,2024,0.3654503990877993,0.6077537058152793,0.24230330672748002,Republican
Siskiyou,6093,2024,0.38759365256642936,0.5798780771557541,0.19228442458932476,Republican
Solano,6095,2024,0.600508865640507,0.37056059504619826,-0.22994827059430872,Democrat
Sonoma,6097,2024,0.7143254874197577,0.25226507998377257,-0.4620604074359851,Democrat
Stanislaus,6099,2024,0.43219798249878466,0.5417780748663101,0.10958009236752547,Republican
Sutter,6101,2024,0.33089282082570676,0.6450071181614806,0.31411429733577384,Republican
Tehama,6103,2024,0.2794738429066787,0.6973842906678728,0.41791044776119407,Republican
Trinity,6105,2024,0.43383525243578386,0.5277236492471213,0.09388839681133748,Republican
Tulare,6107,2024,0.38490355895307043,0.5919824113516211,0.20707885239855067,Republican
Tuolumne,6109,2024,0.37865324540090245,0.5973620270739327,0.21870878167303026,Republican
Ventura,6111,2024,0.5609566686876766,0.4099665888362853,-0.1509900798513913,Democrat
Yolo,6113,2024,0.6631997321496074,0.30072686820248623,-0.36247286394712114,Democrat
Yuba,6115,2024,0.3566677751912205,0.6149318257399401,0.2582640505487196,Republican
Alameda,6001,2000,0.6936355029777318,0.2412913483946142,-0.4523441545831176,Democrat
Alpine,6003,2000,0.4522184300341297,0.47952218430034127,0.027303754266211566,Republican
Amador,6005,2000,0.38191929643041905,0.5668649767201241,0.1849456802897051,Republican
Butte,6007,2000,0.37431468807109325,0.544475101826304,0.17016041375521074,Republican
Calaveras,6009,2000,0.37576817122271666,0.5615066751430388,0.1857385039203221,Republican
Colusa,6011,2000,0.31216457960644006,0.6491949910554562,0.33703041144901613,Republican
Contra Costa,6013,2000,0.5880758523427301,0.3705927995847729,-0.21748305275795715,Democrat
Del Norte,6015,2000,0.3758138413310827,0.5456956836267182,0.16988184229563547,Republican
El Dorado,6017,2000,0.3634800931573694,0.5828573805034934,0.21937728734612405,Republican
Fresno,6019,2000,0.43045260035773314,0.531355989766115,0.10090338940838184,Republican
Glenn,6021,2000,0.2867638617839513,0.665250832281024,0.3784869704970727,Republican
Humboldt,6023,2000,0.4439898520688916,0.41483241620810407,-0.029157435860787506,Democrat
Imperial,6025,2000,0.5352662680996648,0.4328022946400802,-0.10246397345958463,Democrat
Inyo,6027,2000,0.3393474088291747,0.6030710172744722,0.2637236084452975,Republican
Kern,6029,2000,0.3620411611119644,0.6070112117954232,0.24497005068345878,Republican
Kings,6031,2000,0.3896594317981295,0.5779777660137639,0.18831833421563443,Republican
Lake,6033,2000,0.5123093838137578,0.41584205745972563,-0.09646732635403216,Democrat
Lassen,6035,2000,0.28169280181371625,0.6688078594369923,0.387115057623276,Republican
Los Angeles,6037,2000,0.6346594665833567,0.32351769138238484,-0.31114177520097186,Democrat
Madera,6039,2000,0.34885461895493336,0.6073663722114089,0.2585117532564755,Republican
Marin,6041,2000,0.6425642483049815,0.2831553733100564,-0.3594088749949251,Democrat
Mariposa,6043,2000,0.34877384196185285,0.5854594996284369,0.23668565766658406,Republican
Mendocino,6045,2000,0.48340598663179307,0.35664051147922116,-0.12676547515257192,Democrat
Merced,6047,2000,0.4507517156571066,0.5177119282795827,0.06696021262247609,Republican
Modoc,6049,2000,0.23009495982468955,0.7229121012904797,0.49281714146579014,Republican
Mono,6051,2000,0.40905971173644473,0.5252802562342713,0.1162205444978266,Republican
Monterey,6053,2000,0.5753058689400514,0.37232630557966206,-0.20297956336038936,Democrat
Napa,6055,2000,0.5432101152269739,0.3989057304152811,-0.14430438481169283,Democrat
Nevada,6057,2000,0.37216453590008214,0.5475683986604604,0.17540386276037823,Republican
Orange,6059,2000,0.4035605955268538,0.5575200457305297,0.1539594502036759,Republican
Placer,6061,2000,0.36035110654589597,0.5928318576558375,0.23248075110994149,Republican
Plumas,6063,2000,0.3324680319200077,0.6098452071916162,0.2773771752716085,Republican
Riverside,6065,2000,0.4490442824304464,0.5141678507382622,0.0651235683078158,Republican
Sacramento,6067,2000,0.49308770710230565,0.4532939404472251,-0.039793766655080554,Democrat
San Benito,6069,2000,0.5425108430871606,0.4167904462004634,-0.12572039688669717,Democrat
San Bernardino,6071,2000,0.47208684240030074,0.4874926631097863,0.01540582070948554,Republican
San Diego,6073,2000,0.45655171838261527,0.4962644763277747,0.03971275794515944,Republican
San Francisco,6075,2000,0.7554364481246834,0.16103269061184666,-0.5944037575128367,Democrat
San Joaquin,6077,2000,0.47701792046113645,0.4889589150855961,0.011940994624459633,Republican
San Luis Obispo,6079,2000,0.40892309387800085,0.5221883437723858,0.11326524989438491,Republican
San Mateo,6081,2000,0.6428590703896314,0.30954629740284273,-0.3333127729867887,Democrat
Santa Barbara,6083,2000,0.47369881399460556,0.4613225444268071,-0.01237626956779847,Democrat
Santa Clara,6085,2000,0.6065907842861809,0.344353245312691,-0.26223753897348984,Democrat
Santa Cruz,6087,2000,0.6148407937240424,0.2734379326257499,-0.34140286109829254,Democrat
Shasta,6089,2000,0.3024615292137533,0.6503666746814138,0.34790514546766055,Republican
Sierra,6091,2000,0.292365998917163,0.6345425013535463,0.3421765024363833,Republican
Siskiyou,6093,2000,0.3190372874514355,0.6154700035319642,0.29643271608052874,Republican
Solano,6095,2000,0.5702053364709455,0.39172581318556193,-0.17847952328538358,Democrat
Sonoma,6097,2000,0.5953879577271758,0.3224724120077561,-0.27291554571941967,Democrat
Stanislaus,6099,2000,0.44008201641887623,0.5238136075529949,0.08373159113411865,Republican
Sutter,6101,2000,0.31681975606083423,0.6531395874115344,0.3363198313507002,Republican
Tehama,6103,2000,0.3120264697420159,0.6363287618682267,0.3243022921262108,Republican
Trinity,6105,2000,0.3332758323270657,0.576160082801449,0.24288425047438333,Republican
Tulare,6107,2000,0.3674764523814826,0.6019951457391615,0.2345186933576789,Republican
Tuolumne,6109,2000,0.3944451468790829,0.5551481434652505,0.16070299658616766,Republican
Ventura,6111,2000,0.4713893566142657,0.48170093246359996,0.010311575849334287,Republican
Yolo,6113,2000,0.5493033400612019,0.3753011263754151,-0.17400221368578678,Democrat
Yuba,6115,2000,0.3438953308116823,0.6100328641408818,0.2661375333291995,Republican
Alameda,6001,2004,0.7536175282037015,0.2334603079491103,-0.5201572202545912,Democrat
Alpine,6003,2004,0.5336194563662375,0.4449213161659514,-0.08869814020028616,Democrat
Amador,6005,2004,0.3679720362580722,0.6208306179276023,0.2528585816695301,Republican
Butte,6007,2004,0.44339060949496006,0.5396354520290385,0.09624484253407845,Republican
Calaveras,6009,2004,0.3714695597597059,0.6097462566125706,0.23827669685286473,Republican
Colusa,6011,2004,0.3157638663639312,0.6717482971132014,0.35598443074927016,Republican
Contra Costa,6013,2004,0.6241923234636858,0.36543010974452794,-0.25876221371915786,Democrat
Del Norte,6015,2004,0.41311962636662775,0.568517142553869,0.15539751618724124,Republican
El Dorado,6017,2004,0.37369897308699784,0.612879297155706,0.23918032406870815,Republican
Fresno,6019,2004,0.4173571775368183,0.5744780708852565,0.1571208933484382,Republican
Glenn,6021,2004,0.3174350821409645,0.6685744568097509,0.3511393746687864,Republican
Humboldt,6023,2004,0.5798809342085178,0.3925202259197069,-0.1873607082888109,Democrat
Imperial,6025,2004,0.5387614855995676,0.44892286309937457,-0.08983862250019303,Democrat
Inyo,6027,2004,0.391422648354496,0.590697071780254,0.19927442342575802,Republican
Kern,6029,2004,0.32535165846209296,0.6659315748038964,0.34057991634180346,Republican
Kings,6031,2004,0.3375502446016265,0.654441778580999,0.3168915339793724,Republican
Lake,6033,2004,0.5328085434327865,0.4505669932841572,-0.08224155014862927,Democrat
Lassen,6035,2004,0.2761213604966337,0.7105010055084375,0.4343796450118038,Republican
Los Angeles,6037,2004,0.6313563430804459,0.35617165075867563,-0.27518469232177023,Democrat
Madera,6039,2004,0.3476276431150077,0.6413357400722022,0.29370809695719446,Republican
Marin,6041,2004,0.7342924273082367,0.25480473469266746,-0.4794876926155693,Democrat
Mariposa,6043,2004,0.37636026858069,0.6037277147487844,0.2273674461680944,Republican
